epoch,best_auc_HOLD_OUT_vs_self/auc_yinda_level0,best_auc_HOLD_OUT_vs_self/precision_at_1_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/epoch,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/acc_yinda_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/mean_average_precision_at_r_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/r_precision_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/best_epoch,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/best_accuracy
1,0.44999998807907104,0.8666666746139526,1.0,0.6506849527359009,0.4350188672542572,0.5974380373954773,1.0,0.5711628794670105
2,0.5649999976158142,0.8666666746139526,2.0,0.6506849527359009,0.4495278000831604,0.6073943376541138,2.0,0.6077985763549805
3,0.7350000143051147,0.8444444537162781,3.0,0.6506849527359009,0.46143263578414917,0.613640308380127,3.0,0.652380645275116
4,0.8500000238418579,0.8444444537162781,4.0,0.3493150770664215,0.4675324857234955,0.6155027747154236,3.0,0.652380645275116
5,0.8899999856948853,0.8444444537162781,5.0,0.3493150770664215,0.4711235463619232,0.6196502447128296,3.0,0.652380645275116
6,0.9049999713897705,0.8666666746139526,6.0,0.4452054798603058,0.4739740788936615,0.6241912245750427,3.0,0.652380645275116
7,0.925000011920929,0.8888888955116272,7.0,0.767123281955719,0.47474148869514465,0.6280588507652283,7.0,0.7949135303497314
8,0.9399999976158142,0.9111111164093018,8.0,0.7054794430732727,0.4755163788795471,0.6292626261711121,7.0,0.7949135303497314
9,0.9399999976158142,0.9333333373069763,9.0,0.6917808055877686,0.47511476278305054,0.6314631104469299,7.0,0.7949135303497314
10,0.9399999976158142,0.9555555582046509,10.0,0.7260273694992065,0.4763641357421875,0.6356805562973022,7.0,0.7949135303497314
11,0.9399999976158142,0.9333333373069763,11.0,0.7123287916183472,0.4785960018634796,0.6390644311904907,7.0,0.7949135303497314
12,0.9399999976158142,0.9333333373069763,12.0,0.7397260069847107,0.47953712940216064,0.6407431960105896,7.0,0.7949135303497314
13,0.9399999976158142,0.9555555582046509,13.0,0.732876718044281,0.4835629165172577,0.6450189352035522,7.0,0.7949135303497314
14,0.9399999976158142,0.9555555582046509,14.0,0.7465753555297852,0.4939054846763611,0.6539084911346436,7.0,0.7949135303497314
15,0.9399999976158142,0.9555555582046509,15.0,0.767123281955719,0.49706387519836426,0.6557475924491882,15.0,0.8049238920211792
16,0.9399999976158142,0.9555555582046509,16.0,0.801369845867157,0.5001000165939331,0.658668041229248,16.0,0.8227695822715759
17,0.949999988079071,0.9555555582046509,17.0,0.7945205569267273,0.5040286779403687,0.6614689826965332,16.0,0.8227695822715759
18,0.949999988079071,0.9333333373069763,18.0,0.7876712083816528,0.5087125897407532,0.6654998660087585,16.0,0.8227695822715759
19,0.949999988079071,0.9333333373069763,19.0,0.7945205569267273,0.5124337077140808,0.6684902310371399,19.0,0.8237824440002441
20,0.949999988079071,0.9555555582046509,20.0,0.7945205569267273,0.5162553191184998,0.6726027131080627,20.0,0.8244016766548157
21,0.9549999833106995,0.9333333373069763,21.0,0.7945205569267273,0.517566978931427,0.6728213429450989,21.0,0.8249176740646362
22,0.9549999833106995,0.9333333373069763,22.0,0.7876712083816528,0.5193176865577698,0.6729029417037964,21.0,0.8249176740646362
23,0.9549999833106995,0.9333333373069763,23.0,0.7876712083816528,0.5215019583702087,0.6743893623352051,21.0,0.8249176740646362
24,0.9549999833106995,0.9333333373069763,24.0,0.7945205569267273,0.5223914384841919,0.6737598180770874,24.0,0.8270848393440247
25,0.9549999833106995,0.9111111164093018,25.0,0.7945205569267273,0.5235633850097656,0.6734042763710022,25.0,0.827497661113739
26,0.9549999833106995,0.9111111164093018,26.0,0.7945205569267273,0.5245838165283203,0.6734771132469177,26.0,0.828220009803772
27,0.9649999737739563,0.9111111164093018,27.0,0.7945205569267273,0.5253903865814209,0.6729933023452759,27.0,0.8289424180984497
28,0.9649999737739563,0.9111111164093018,28.0,0.7945205569267273,0.5250931978225708,0.6722442507743835,27.0,0.8289424180984497
29,0.9599999785423279,0.9333333373069763,29.0,0.7808219194412231,0.5271032452583313,0.6733459830284119,27.0,0.8289424180984497
30,0.9599999785423279,0.9555555582046509,30.0,0.7876712083816528,0.5302770733833313,0.6759166717529297,27.0,0.8289424180984497
31,0.9599999785423279,0.9555555582046509,31.0,0.7876712083816528,0.5304712057113647,0.675266683101654,27.0,0.8289424180984497
32,0.9549999833106995,0.9555555582046509,32.0,0.7808219194412231,0.5316130518913269,0.6767531037330627,27.0,0.8289424180984497
33,0.9599999785423279,0.9555555582046509,33.0,0.7945205569267273,0.5307421684265137,0.6754677891731262,27.0,0.8289424180984497
34,0.9549999833106995,0.9333333373069763,34.0,0.7876712083816528,0.5306869149208069,0.674928605556488,27.0,0.8289424180984497
35,0.949999988079071,0.9555555582046509,35.0,0.7808219194412231,0.5315505862236023,0.675957441329956,27.0,0.8289424180984497
36,0.9549999833106995,0.9555555582046509,36.0,0.7808219194412231,0.5321462750434875,0.6768988370895386,27.0,0.8289424180984497
37,0.949999988079071,0.9555555582046509,37.0,0.7808219194412231,0.5340676307678223,0.6783357858657837,27.0,0.8289424180984497
38,0.9549999833106995,0.9555555582046509,38.0,0.7808219194412231,0.5347323417663574,0.6787846088409424,27.0,0.8289424180984497
39,0.9599999785423279,0.9555555582046509,39.0,0.7876712083816528,0.5371403694152832,0.6809006333351135,27.0,0.8289424180984497
40,0.9599999785423279,0.9555555582046509,40.0,0.7876712083816528,0.5372008681297302,0.6808364987373352,27.0,0.8289424180984497
41,0.9599999785423279,0.9555555582046509,41.0,0.7808219194412231,0.5365759134292603,0.680626630783081,27.0,0.8289424180984497
42,0.9599999785423279,0.9777777791023254,42.0,0.7876712083816528,0.5384390354156494,0.6827688813209534,27.0,0.8289424180984497
43,0.9599999785423279,0.9777777791023254,43.0,0.7876712083816528,0.5391182899475098,0.6834800243377686,27.0,0.8289424180984497
44,0.9599999785423279,0.9777777791023254,44.0,0.7876712083816528,0.5397321581840515,0.684100866317749,27.0,0.8289424180984497
45,0.9599999785423279,0.9777777791023254,45.0,0.7876712083816528,0.5397923588752747,0.6831069588661194,27.0,0.8289424180984497
46,0.9599999785423279,0.9777777791023254,46.0,0.7876712083816528,0.5415611863136292,0.6849956512451172,27.0,0.8289424180984497
47,0.9599999785423279,0.9777777791023254,47.0,0.7876712083816528,0.5422999858856201,0.6856164336204529,27.0,0.8289424180984497
48,0.9599999785423279,0.9777777791023254,48.0,0.8082191944122314,0.5431861281394958,0.686161458492279,48.0,0.8387845158576965
49,0.9599999785423279,0.9777777791023254,49.0,0.7876712083816528,0.5429666638374329,0.6860710978507996,48.0,0.8387845158576965
50,0.9599999785423279,0.9777777791023254,50.0,0.801369845867157,0.5435054302215576,0.686519980430603,48.0,0.8387845158576965
51,0.9599999785423279,0.9777777791023254,51.0,0.7876712083816528,0.5437453389167786,0.6867006421089172,48.0,0.8387845158576965
52,0.9599999785423279,0.9777777791023254,52.0,0.8082191944122314,0.5442034006118774,0.6869280338287354,48.0,0.8387845158576965
53,0.9599999785423279,0.9777777791023254,53.0,0.801369845867157,0.5447016954421997,0.6876508593559265,48.0,0.8387845158576965
54,0.9599999785423279,0.9777777791023254,54.0,0.8082191944122314,0.5444024801254272,0.6871669888496399,48.0,0.8387845158576965
55,0.9599999785423279,0.9777777791023254,55.0,0.7945205569267273,0.545413613319397,0.6878315210342407,48.0,0.8387845158576965
56,0.9599999785423279,0.9777777791023254,56.0,0.8219178318977356,0.5464229583740234,0.6886155605316162,56.0,0.846356213092804
57,0.9599999785423279,0.9777777791023254,57.0,0.7945205569267273,0.546631395816803,0.6887525320053101,56.0,0.846356213092804
58,0.9599999785423279,0.9777777791023254,58.0,0.7945205569267273,0.5468570590019226,0.6888079047203064,56.0,0.846356213092804
59,0.9599999785423279,0.9777777791023254,59.0,0.801369845867157,0.5472086071968079,0.6890090107917786,56.0,0.846356213092804
60,0.9599999785423279,0.9777777791023254,60.0,0.801369845867157,0.5469091534614563,0.6886243224143982,56.0,0.846356213092804
61,0.9599999785423279,0.9777777791023254,61.0,0.801369845867157,0.547705352306366,0.6897726655006409,56.0,0.846356213092804
62,0.9599999785423279,0.9777777791023254,62.0,0.801369845867157,0.5479510426521301,0.6897814273834229,56.0,0.846356213092804
63,0.9599999785423279,0.9777777791023254,63.0,0.801369845867157,0.5495826005935669,0.6914339661598206,56.0,0.846356213092804
64,0.9599999785423279,0.9777777791023254,64.0,0.8219178318977356,0.5514611601829529,0.6934946179389954,56.0,0.846356213092804
65,0.9599999785423279,0.9777777791023254,65.0,0.8219178318977356,0.5534623861312866,0.6953657865524292,65.0,0.8469754457473755
66,0.9649999737739563,0.9777777791023254,66.0,0.8082191944122314,0.5551140308380127,0.6964529156684875,65.0,0.8469754457473755
