epoch,best_auc_HOLD_OUT_vs_self/epoch,best_auc_HOLD_OUT_vs_self/acc_yinda_level0,best_auc_HOLD_OUT_vs_self/auc_yinda_level0,best_auc_HOLD_OUT_vs_self/mean_average_precision_at_r_level0,best_auc_HOLD_OUT_vs_self/precision_at_1_level0,best_auc_HOLD_OUT_vs_self/r_precision_level0,best_auc_HOLD_OUT_vs_self/best_epoch,best_auc_HOLD_OUT_vs_self/best_accuracy
1,1.0,0.8888888955116272,0.44999998807907104,0.7742213606834412,0.8666666746139526,0.8361823558807373,1.0,0.6694444417953491
2,2.0,0.8888888955116272,0.5649999976158142,0.7809792160987854,0.8666666746139526,0.8340455889701843,2.0,0.7269444465637207
3,3.0,0.8888888955116272,0.7350000143051147,0.7948465943336487,0.8444444537162781,0.849287748336792,3.0,0.8119444251060486
4,4.0,0.1111111119389534,0.8500000238418579,0.8068715333938599,0.8444444537162781,0.8622506856918335,3.0,0.8119444251060486
5,5.0,0.1111111119389534,0.8899999856948853,0.8128117322921753,0.8444444537162781,0.8656694889068604,3.0,0.8119444251060486
6,6.0,0.2666666805744171,0.9049999713897705,0.8163947463035583,0.8666666746139526,0.8658119440078735,3.0,0.8119444251060486
7,7.0,0.8666666746139526,0.925000011920929,0.8286647796630859,0.8888888955116272,0.8759258985519409,7.0,0.8958333134651184
8,8.0,0.8888888955116272,0.9399999976158142,0.8390697836875916,0.9111111164093018,0.8843305110931396,8.0,0.9144444465637207
9,9.0,0.8666666746139526,0.9399999976158142,0.8416606783866882,0.9333333373069763,0.8843305110931396,8.0,0.9144444465637207
10,10.0,0.9111111164093018,0.9399999976158142,0.8401451706886292,0.9555555582046509,0.8820512890815735,10.0,0.9255555272102356
11,11.0,0.9111111164093018,0.9399999976158142,0.8287881016731262,0.9333333373069763,0.8658119440078735,10.0,0.9255555272102356
12,12.0,0.9111111164093018,0.9399999976158142,0.825218915939331,0.9333333373069763,0.8623931407928467,10.0,0.9255555272102356
13,13.0,0.8666666746139526,0.9399999976158142,0.8207365870475769,0.9555555582046509,0.8574073910713196,10.0,0.9255555272102356
14,14.0,0.8888888955116272,0.9399999976158142,0.8207342624664307,0.9555555582046509,0.8574073910713196,10.0,0.9255555272102356
15,15.0,0.8444444537162781,0.9399999976158142,0.8265935778617859,0.9555555582046509,0.8685185313224792,10.0,0.9255555272102356
16,16.0,0.8666666746139526,0.9399999976158142,0.8289319276809692,0.9555555582046509,0.8729344606399536,10.0,0.9255555272102356
17,17.0,0.8222222328186035,0.949999988079071,0.8287234306335449,0.9555555582046509,0.8729344606399536,10.0,0.9255555272102356
18,18.0,0.8222222328186035,0.949999988079071,0.8276710510253906,0.9333333373069763,0.8729344606399536,10.0,0.9255555272102356
19,19.0,0.8444444537162781,0.949999988079071,0.8283056616783142,0.9333333373069763,0.8735042810440063,10.0,0.9255555272102356
20,20.0,0.8444444537162781,0.949999988079071,0.8312196731567383,0.9555555582046509,0.8735042810440063,10.0,0.9255555272102356
21,21.0,0.8444444537162781,0.9549999833106995,0.829169511795044,0.9333333373069763,0.8735042810440063,10.0,0.9255555272102356
22,22.0,0.8222222328186035,0.9549999833106995,0.8301097750663757,0.9333333373069763,0.8735042810440063,10.0,0.9255555272102356
23,23.0,0.8222222328186035,0.9549999833106995,0.8301222324371338,0.9333333373069763,0.8735042810440063,10.0,0.9255555272102356
24,24.0,0.8444444537162781,0.9549999833106995,0.8331947326660156,0.9333333373069763,0.8790598511695862,10.0,0.9255555272102356
25,25.0,0.8444444537162781,0.9549999833106995,0.8332857489585876,0.9111111164093018,0.8790598511695862,10.0,0.9255555272102356
26,26.0,0.8444444537162781,0.9549999833106995,0.8324376940727234,0.9111111164093018,0.8790598511695862,10.0,0.9255555272102356
27,27.0,0.8222222328186035,0.9649999737739563,0.8317336440086365,0.9111111164093018,0.8790598511695862,10.0,0.9255555272102356
28,28.0,0.8222222328186035,0.9649999737739563,0.8294399380683899,0.9111111164093018,0.8790598511695862,10.0,0.9255555272102356
29,29.0,0.8222222328186035,0.9599999785423279,0.8318372964859009,0.9333333373069763,0.8790598511695862,10.0,0.9255555272102356
30,30.0,0.8222222328186035,0.9599999785423279,0.8306410312652588,0.9555555582046509,0.8790598511695862,10.0,0.9255555272102356
31,31.0,0.8222222328186035,0.9599999785423279,0.8326493501663208,0.9555555582046509,0.8840456008911133,10.0,0.9255555272102356
32,32.0,0.8222222328186035,0.9549999833106995,0.8240382075309753,0.9555555582046509,0.8668091297149658,10.0,0.9255555272102356
33,33.0,0.8222222328186035,0.9599999785423279,0.8204606175422668,0.9555555582046509,0.8645299077033997,10.0,0.9255555272102356
34,34.0,0.8222222328186035,0.9549999833106995,0.8184587359428406,0.9333333373069763,0.8601139783859253,10.0,0.9255555272102356
35,35.0,0.8222222328186035,0.949999988079071,0.8213991522789001,0.9555555582046509,0.8662393093109131,10.0,0.9255555272102356
36,36.0,0.8222222328186035,0.9549999833106995,0.8214631676673889,0.9555555582046509,0.8662393093109131,10.0,0.9255555272102356
37,37.0,0.8222222328186035,0.949999988079071,0.8219015002250671,0.9555555582046509,0.861253559589386,10.0,0.9255555272102356
38,38.0,0.8222222328186035,0.9549999833106995,0.8274601101875305,0.9555555582046509,0.8729344606399536,10.0,0.9255555272102356
39,39.0,0.8222222328186035,0.9599999785423279,0.8269244432449341,0.9555555582046509,0.8723646998405457,10.0,0.9255555272102356
40,40.0,0.8222222328186035,0.9599999785423279,0.8307362794876099,0.9555555582046509,0.8784900307655334,10.0,0.9255555272102356
