epoch,best_auc_TRAIN_vs_self/epoch,best_auc_TRAIN_vs_self/acc_yinda_level0,best_auc_TRAIN_vs_self/auc_yinda_level0,best_auc_TRAIN_vs_self/mean_average_precision_at_r_level0,best_auc_TRAIN_vs_self/precision_at_1_level0,best_auc_TRAIN_vs_self/r_precision_level0,best_auc_TRAIN_vs_self/best_epoch,best_auc_TRAIN_vs_self/best_accuracy
1,1.0,0.6666666865348816,0.5003782510757446,0.4402611553668976,0.7672955989837646,0.6190236210823059,1.0,0.5835224390029907
2,2.0,0.6666666865348816,0.5847944021224976,0.46490779519081116,0.7641509175300598,0.6347941756248474,2.0,0.6257305145263672
3,3.0,0.6666666865348816,0.6799572706222534,0.4935826361179352,0.7547169923782349,0.6533625721931458,3.0,0.6733119487762451
4,4.0,0.3333333432674408,0.7630162239074707,0.5194043517112732,0.7704402804374695,0.6699138283729553,3.0,0.6733119487762451
5,5.0,0.3333333432674408,0.8144134879112244,0.5403516888618469,0.7767295837402344,0.684194803237915,3.0,0.6733119487762451
6,6.0,0.4433962404727936,0.8410021066665649,0.5552757978439331,0.7641509175300598,0.695209264755249,3.0,0.6733119487762451
7,7.0,0.8207547068595886,0.8576450943946838,0.5652734041213989,0.7672955989837646,0.7025690674781799,7.0,0.8391999006271362
8,8.0,0.7987421154975891,0.8661445379257202,0.5714641213417053,0.795597493648529,0.706612229347229,7.0,0.8391999006271362
9,9.0,0.7987421154975891,0.8709059953689575,0.5715005993843079,0.7767295837402344,0.7063120007514954,7.0,0.8391999006271362
10,10.0,0.8270440101623535,0.872997522354126,0.56919926404953,0.7672955989837646,0.7037866711616516,10.0,0.8500207662582397
11,11.0,0.8081761002540588,0.8745105266571045,0.5680549740791321,0.7704402804374695,0.7024579644203186,10.0,0.8500207662582397
12,12.0,0.8333333134651184,0.8761125206947327,0.5669668912887573,0.7641509175300598,0.7013992071151733,12.0,0.8547229170799255
