~iteration~,metric_loss,classifier_loss,total_loss
0,1.9996778964996338,1.0402419567108154,3.039919853210449
9,1.9996589422225952,1.039657711982727,3.0393166542053223
18,1.9996678829193115,1.0396467447280884,3.0393147468566895
27,1.998367428779602,1.0384972095489502,3.036864757537842
36,1.9978946447372437,1.03877854347229,3.036673069000244
45,1.996206283569336,1.0375940799713135,3.0338003635406494
54,1.991613745689392,1.0365638732910156,3.0281777381896973
63,1.9856088161468506,1.0358123779296875,3.021421194076538
72,1.9864428043365479,1.0339045524597168,3.0203473567962646
81,1.9845244884490967,1.0348871946334839,3.019411563873291
90,1.9877244234085083,1.0350717306137085,3.022796154022217
99,1.9754081964492798,1.031360149383545,3.006768226623535
108,1.975738286972046,1.0321792364120483,3.0079174041748047
117,1.96909499168396,1.0282177925109863,2.9973127841949463
126,1.9770506620407104,1.030360460281372,3.007411003112793
135,1.9857913255691528,1.0309721231460571,3.01676344871521
144,1.9794063568115234,1.0321450233459473,3.0115513801574707
153,1.9769911766052246,1.030745506286621,3.0077366828918457
162,1.9762529134750366,1.0294296741485596,3.0056824684143066
171,1.9701800346374512,1.029754400253296,2.999934434890747
180,1.9778406620025635,1.0291659832000732,3.0070066452026367
189,1.9801524877548218,1.0313470363616943,3.0114994049072266
198,1.9782154560089111,1.0288201570510864,3.007035732269287
207,1.9825267791748047,1.0302375555038452,3.0127644538879395
216,1.9861871004104614,1.030522108078003,3.016709327697754
225,1.9775155782699585,1.027759075164795,3.005274772644043
234,1.9903132915496826,1.0298250913619995,3.0201382637023926
243,1.9679127931594849,1.0247015953063965,2.992614269256592
252,1.9866788387298584,1.026634931564331,3.0133137702941895
261,1.9749270677566528,1.0256544351577759,3.0005815029144287
270,1.9734783172607422,1.0254616737365723,2.9989399909973145
279,1.9636200666427612,1.02059805393219,2.984218120574951
288,1.97749924659729,1.0241479873657227,3.0016472339630127
297,1.9740653038024902,1.0262267589569092,3.0002920627593994
306,1.9666712284088135,1.0201321840286255,2.9868035316467285
315,1.972320318222046,1.0238144397735596,2.9961347579956055
324,1.975847601890564,1.0187312364578247,2.9945788383483887
333,1.9662258625030518,1.0200703144073486,2.9862961769104004
342,1.979614496231079,1.0229647159576416,3.0025792121887207
351,1.9889897108078003,1.0223795175552368,3.011369228363037
360,1.9671554565429688,1.0183532238006592,2.985508680343628
369,1.9797821044921875,1.0212788581848145,3.001060962677002
378,1.9762076139450073,1.0179648399353027,2.9941725730895996
387,1.9753923416137695,1.0212222337722778,2.996614456176758
396,1.9801585674285889,1.0202546119689941,3.000413179397583
405,1.9770855903625488,1.0207555294036865,2.9978411197662354
414,1.9685561656951904,1.0145189762115479,2.9830751419067383
423,1.9990404844284058,1.0166994333267212,3.015739917755127
432,1.9722161293029785,1.0176846981048584,2.989900827407837
441,1.969617486000061,1.0149434804916382,2.984560966491699
450,1.9724164009094238,1.014296531677246,2.98671293258667
459,1.9633866548538208,1.0093848705291748,2.972771644592285
468,1.9681167602539062,1.0113128423690796,2.9794297218322754
477,1.954578161239624,1.0027064085006714,2.957284450531006
486,1.98635733127594,1.0214186906814575,3.0077760219573975
495,1.9651861190795898,1.0089155435562134,2.9741015434265137
504,1.9590814113616943,1.00028657913208,2.9593679904937744
513,1.9861549139022827,1.0169084072113037,3.003063201904297
522,1.9713252782821655,1.0011658668518066,2.9724912643432617
531,1.971884846687317,1.0033215284347534,2.9752063751220703
540,1.9740209579467773,1.009409785270691,2.983430862426758
