~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_acc_auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy
1,1,0.3493150684931507,0.7808049535603715,0.5650600110267611,0.4186142588832323,0.6575342465753424,0.596371320314777,1,0.5650600110267611
2,2,0.3493150684931507,0.8201238390092879,0.5847194537512193,0.4349857907547133,0.7397260273972602,0.6063130282716409,2,0.5847194537512193
3,3,0.6506849315068494,0.847265221878225,0.7489750766925372,0.45017169401184653,0.7602739726027397,0.6164704167881083,3,0.7489750766925372
4,4,0.6506849315068494,0.8619195046439628,0.7563022180754061,0.4637647016155476,0.773972602739726,0.625292917516759,4,0.7563022180754061
5,5,0.684931506849315,0.869969040247678,0.7774502735484965,0.4760833526251409,0.7808219178082192,0.6333663654911105,5,0.7774502735484965
6,6,0.7465753424657534,0.8710010319917441,0.8087881872287488,0.4851202990496289,0.7876712328767123,0.6379539492859224,6,0.8087881872287488
7,7,0.6232876712328768,0.8697626418988649,0.7465251565658708,0.49572946144023194,0.7876712328767123,0.6455931215389099,6,0.8087881872287488
8,8,0.6986301369863014,0.8658410732714139,0.7822356051288577,0.5045987305110202,0.7602739726027397,0.6521451471874089,6,0.8087881872287488
9,9,0.7945205479452054,0.8602683178534573,0.8273944328993313,0.5116571429459869,0.7465753424657534,0.6555144272806762,9,0.8273944328993313
10,10,0.8013698630136986,0.8555211558307534,0.8284455094222261,0.517871300905467,0.7602739726027397,0.6580093267269017,10,0.8284455094222261
11,11,0.8082191780821918,0.8505675954592362,0.829393386770714,0.523402217413877,0.773972602739726,0.661827455552317,11,0.829393386770714
12,12,0.8082191780821918,0.8437564499484005,0.8259878140152961,0.5247513786486004,0.773972602739726,0.6618187117458467,11,0.829393386770714
13,13,0.7876712328767124,0.8388028895768834,0.8132370612267978,0.5254872944023324,0.7945205479452054,0.6611279510346838,11,0.829393386770714
14,14,0.7876712328767124,0.8348813209494325,0.8112762769130724,0.5242337935492122,0.7808219178082192,0.6579510346837657,11,0.829393386770714
