0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
0.16789366,-0.24573752,0.101527356,-0.07160638,-0.037153833,0.22168547,-0.119272634,0.14752431,0.35752013,-0.06895724,0.2757501,-0.07677337,0.15882534,0.20423035,-0.27555728,-0.16044822,-0.025429703,-0.13165271,-0.15834086,0.35033873,0.082029596,0.12889911,0.06300911,-0.122000866,-0.09437041,0.25721207,0.09692987,0.34067193,-0.020599177,0.057614014,-0.004723838,-0.11868986,1.0
0.1647031,-0.21780078,0.07669811,-0.107004166,-0.074109584,0.18574987,-0.112385854,0.10935893,0.34797126,-0.009690182,0.274261,-0.12513006,0.18232253,0.24061528,-0.27824757,-0.11395925,-0.056549292,-0.18222627,-0.11734301,0.35717514,0.03731455,0.16317801,0.034676068,-0.0763216,-0.062380366,0.26723337,0.040422555,0.35917896,-0.03297595,0.07477453,-0.04786938,-0.14901231,1.0
0.15214732,-0.27478963,0.09948362,-0.082626924,-0.03800407,0.24796762,-0.134047,0.15703897,0.3283091,-0.13031209,0.28002527,-0.05110048,0.11590623,0.15895312,-0.2297052,-0.1855651,-0.002992688,-0.08476883,-0.15320991,0.36298156,0.090592444,0.10302263,0.09071985,-0.15646033,-0.12255578,0.28079715,0.13244261,0.32540458,-0.011651722,0.045204014,0.033619434,-0.11315036,1.0
0.17296165,-0.1659636,0.01664096,-0.18398704,-0.13986021,0.11352185,-0.11430306,0.025198312,0.30757353,0.057121202,0.26997188,-0.16520374,0.16469437,0.26310283,-0.2566161,-0.05520582,-0.10053195,-0.21238597,-0.05855908,0.35418662,-0.024161754,0.23265488,-0.058937695,-0.0072470712,-0.0121212825,0.26785803,-0.04154742,0.34155002,-0.035858795,0.099168584,-0.10110068,-0.21219498,1.0
0.16920683,-0.14870024,0.0093424,-0.17954083,-0.1442664,0.09824998,-0.115239844,0.014785151,0.300266,0.078131154,0.26650628,-0.18265064,0.1656225,0.2693109,-0.25883833,-0.037109647,-0.106902964,-0.22158316,-0.05315472,0.34099415,-0.04373481,0.24590121,-0.068303935,0.00884039,-0.0075341663,0.25968415,-0.059316106,0.33939397,-0.033796877,0.10387722,-0.10964853,-0.2169736,1.0
0.16285834,-0.13640435,0.00465001,-0.15134175,-0.15333705,0.10453634,-0.14318131,-0.004940672,0.2756753,0.10551492,0.26402792,-0.22115955,0.1599092,0.25269586,-0.2520298,-0.008438431,-0.12773347,-0.23936427,-0.0480316,0.33730036,-0.09285564,0.25423962,-0.098872796,0.014066044,0.002045043,0.25424883,-0.084758416,0.32048273,-0.022643497,0.12468039,-0.094395176,-0.21396095,1.0
0.16688049,-0.22975229,0.064743154,-0.124990635,-0.10989004,0.19257072,-0.14059171,0.07694109,0.30841208,-0.0014917118,0.31005886,-0.14476144,0.1596691,0.21470954,-0.2686997,-0.09160201,-0.06544605,-0.19014362,-0.1029261,0.3565864,-0.0025613192,0.18426915,-0.021711517,-0.07612006,-0.05910861,0.28231847,0.012513475,0.34902084,-0.028794838,0.08127807,-0.026950654,-0.16900797,1.0
0.17051587,-0.16437648,0.014024327,-0.16134985,-0.15123825,0.13898009,-0.15490174,-0.0038421857,0.27167913,0.07017396,0.2959471,-0.21675846,0.14383416,0.22712053,-0.2479463,-0.031123877,-0.10674091,-0.21723785,-0.056127857,0.34877113,-0.077892125,0.24255933,-0.09576404,-0.011808994,-0.007747823,0.28161174,-0.05183563,0.32085478,-0.014116772,0.11021903,-0.07363722,-0.20759515,1.0
0.1752192,-0.15680343,0.010411539,-0.16664936,-0.12866813,0.10418426,-0.119655035,0.024569811,0.31134745,0.07345255,0.2625034,-0.1737759,0.1648649,0.2707636,-0.26240733,-0.047976933,-0.1100687,-0.21612212,-0.06571208,0.35147202,-0.032134984,0.24571443,-0.06454007,-0.0065705464,-0.0050031147,0.26361856,-0.04571123,0.33175796,-0.026358826,0.11077823,-0.10296199,-0.20946725,1.0
0.17829198,-0.21803945,0.06353523,-0.10070718,-0.0791749,0.19332276,-0.1475101,0.096756525,0.33491185,-0.015052542,0.28646812,-0.13930322,0.15229839,0.22019914,-0.26554725,-0.11532868,-0.07679001,-0.1718475,-0.12309334,0.37518507,0.015216851,0.18876524,0.0031086125,-0.091648996,-0.05834151,0.27500477,0.041809004,0.33086202,-0.007570239,0.091007434,-0.032154873,-0.1647073,1.0
0.16976282,-0.22415002,0.062398586,-0.08798632,-0.07363128,0.1933709,-0.1462848,0.094700605,0.3392096,-0.017239617,0.286488,-0.122680396,0.14688775,0.21917872,-0.27297527,-0.11433154,-0.064298436,-0.16435526,-0.13448194,0.37075073,0.016078426,0.19163027,0.0005167838,-0.0950915,-0.06389484,0.28628263,0.047037292,0.33338484,-0.0045573404,0.094455376,-0.02033311,-0.15800658,1.0
0.16492698,-0.22509095,0.051221807,-0.11722513,-0.08666803,0.20058112,-0.16116656,0.06732609,0.31416008,-0.037587196,0.3024067,-0.1328563,0.119744234,0.20017824,-0.24216124,-0.11828918,-0.06987688,-0.1458182,-0.11703836,0.39702967,0.0033066089,0.19381993,-0.0071081165,-0.093836136,-0.07096511,0.30596307,0.04320019,0.32603532,-0.003499588,0.09490444,-0.011124239,-0.17718685,1.0
0.17288603,-0.21049091,0.054715008,-0.13705672,-0.086343974,0.16555534,-0.123717494,0.08379276,0.3386556,-0.018920192,0.27887884,-0.11236679,0.14928034,0.23897532,-0.26174513,-0.117929615,-0.06808544,-0.16417696,-0.10923379,0.37845692,0.030485248,0.19571297,0.010833314,-0.0689866,-0.06355459,0.27813378,0.033410933,0.3505204,-0.026123952,0.08079169,-0.047405567,-0.18406928,1.0
0.1615838,-0.18685967,0.03972019,-0.1433949,-0.13236356,0.1600523,-0.14913759,0.034324147,0.28700313,0.026427552,0.30386195,-0.17645806,0.14905109,0.21668333,-0.24855188,-0.056076586,-0.09706953,-0.20497349,-0.07682151,0.3758765,-0.047281444,0.23168199,-0.056012817,-0.04036839,-0.03704136,0.2883817,-0.023321092,0.33564824,-0.015301107,0.09431087,-0.053772844,-0.20146424,1.0
0.17121738,-0.1759839,0.01473891,-0.17630096,-0.14667115,0.11989554,-0.123224884,0.029135592,0.30220595,0.067199364,0.2765029,-0.1752312,0.16231419,0.26183382,-0.26356897,-0.04800857,-0.093238115,-0.21308334,-0.060296625,0.3409302,-0.036289386,0.23168911,-0.06922798,-0.011604415,-0.019168902,0.27110177,-0.042977013,0.34155145,-0.032965235,0.10196688,-0.08958541,-0.20259696,1.0
0.13870177,-0.27785423,0.13486554,-0.040292833,0.0013298258,0.27523366,-0.12250648,0.19587587,0.31966195,-0.17780739,0.25830516,-0.010901259,0.10431988,0.11721135,-0.20721157,-0.22151314,0.02381258,-0.041431364,-0.17305791,0.33467147,0.1279963,0.053066745,0.14504236,-0.18894187,-0.15064031,0.24485804,0.18553723,0.30121377,-0.00649393,0.018576285,0.061805174,-0.071892805,1.0
0.17295085,-0.23208882,0.06027399,-0.1475175,-0.10081513,0.18442293,-0.12167799,0.09282277,0.3377443,-0.029895565,0.28651553,-0.11959832,0.15875018,0.2314612,-0.26088536,-0.123765305,-0.052206427,-0.16624203,-0.10662685,0.35904768,0.036810387,0.1648174,0.013518383,-0.079954684,-0.061764605,0.2781326,0.038710166,0.35215753,-0.033965383,0.07594824,-0.043161374,-0.16883203,1.0
0.17445354,-0.20705855,0.05371191,-0.13821414,-0.086922824,0.16390452,-0.11970491,0.09129103,0.34406042,-0.01851863,0.27208582,-0.11808558,0.15238388,0.24368154,-0.26146176,-0.11889596,-0.06568483,-0.16014501,-0.10874976,0.37718755,0.033564612,0.19702251,0.019227298,-0.06530805,-0.060022768,0.27867845,0.03926699,0.35013568,-0.021402298,0.084246136,-0.059469476,-0.17519982,1.0
0.14585462,-0.27761084,0.12672655,-0.058275808,-0.0013114548,0.25078538,-0.0980738,0.19053204,0.3384274,-0.15087906,0.25586402,0.002478354,0.12507704,0.15560365,-0.23933347,-0.21660551,0.031019235,-0.055676617,-0.17342713,0.32148564,0.1466471,0.05099408,0.1334158,-0.16329794,-0.14693967,0.23787135,0.16194895,0.32700104,-0.033000097,0.018016797,0.045775965,-0.07521704,1.0
0.17307839,-0.16887622,0.012916441,-0.16236402,-0.13078971,0.11584598,-0.13129006,0.030999864,0.30511177,0.05839591,0.27207735,-0.17913246,0.15448041,0.26026994,-0.25636208,-0.04872116,-0.10628558,-0.20872805,-0.06567545,0.35853747,-0.03977697,0.24236323,-0.057952307,-0.0179179,-0.014236843,0.27628437,-0.037632994,0.33262426,-0.016641254,0.10589945,-0.091086924,-0.20939519,1.0
0.17933205,-0.19743085,0.046570595,-0.123420015,-0.10205076,0.15921323,-0.13521238,0.07252631,0.32847077,0.026384294,0.2796834,-0.16631456,0.1672226,0.24431856,-0.2724445,-0.08058747,-0.0866938,-0.19783545,-0.100231595,0.35905737,-0.010508291,0.20952244,-0.0223107,-0.056715123,-0.033137627,0.27247426,0.0017390081,0.33889532,-0.014376127,0.09694149,-0.06456243,-0.17886469,1.0
0.17230602,-0.16657831,0.028223226,-0.12013657,-0.1056213,0.13272007,-0.13273571,0.04380281,0.3137121,0.06724019,0.27591634,-0.18901911,0.17178519,0.2528841,-0.28085628,-0.04477069,-0.097225085,-0.21475908,-0.08735151,0.3503234,-0.03946376,0.24579258,-0.052454714,-0.026246313,-0.010410031,0.27618024,-0.026350109,0.33047593,-0.007460429,0.10692031,-0.08669095,-0.18233742,1.0
0.16589767,-0.17154972,0.0011076513,-0.16496737,-0.1435177,0.1279877,-0.15627998,-0.0027411317,0.2866078,0.06904078,0.29095495,-0.1998587,0.13231933,0.23939702,-0.24334256,-0.038219664,-0.11311093,-0.20457233,-0.055896424,0.36062658,-0.067278706,0.25387868,-0.093681306,-0.022216627,-0.01251277,0.28484643,-0.040148955,0.30787703,-0.007912408,0.12226712,-0.06891207,-0.20950912,1.0
0.16691001,-0.24909236,0.060256105,-0.12711449,-0.10257686,0.20606613,-0.14517324,0.09790403,0.3237874,-0.018658219,0.30430517,-0.13997263,0.14654921,0.21102412,-0.26158345,-0.108052574,-0.045594264,-0.15613694,-0.10482199,0.3543192,0.012397417,0.17393038,-0.0021004062,-0.100967094,-0.07173479,0.29811338,0.057631325,0.33834442,-0.008902597,0.07577601,-0.020488258,-0.14670204,1.0
0.17347392,-0.22026142,0.06983042,-0.108462386,-0.083198816,0.19079784,-0.14746138,0.10238305,0.33913672,-0.028755244,0.28288603,-0.12822424,0.14774556,0.21764244,-0.25583303,-0.120891355,-0.07714027,-0.16792092,-0.11891903,0.3815063,0.019554898,0.18624538,0.013740438,-0.09184608,-0.0727317,0.26735365,0.048085745,0.3371548,-0.011277238,0.08127922,-0.02608528,-0.17300572,1.0
