~iteration~,m,gamma,op,on,delta_p,delta_n
945,0.8,80,1.8,-0.8,0.19999999999999996,0.8
954,0.8,80,1.8,-0.8,0.19999999999999996,0.8
963,0.8,80,1.8,-0.8,0.19999999999999996,0.8
972,0.8,80,1.8,-0.8,0.19999999999999996,0.8
981,0.8,80,1.8,-0.8,0.19999999999999996,0.8
990,0.8,80,1.8,-0.8,0.19999999999999996,0.8
999,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1008,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1017,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1026,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1035,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1044,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1053,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1062,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1071,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1080,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1089,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1098,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1107,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1116,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1125,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1134,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1143,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1152,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1161,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1170,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1179,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1188,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1197,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1206,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1215,0.8,80,1.8,-0.8,0.19999999999999996,0.8
1224,0.8,80,1.8,-0.8,0.19999999999999996,0.8
