~iteration~,metric_loss,classifier_loss,total_loss
1971,0.5,1.5,1.0
1980,0.5,1.5,1.0
1989,0.5,1.5,1.0
1998,0.5,1.5,1.0
2007,0.5,1.5,1.0
2016,0.5,1.5,1.0
2025,0.5,1.5,1.0
2034,0.5,1.5,1.0
2043,0.5,1.5,1.0
2052,0.5,1.5,1.0
2061,0.5,1.5,1.0
2070,0.5,1.5,1.0
2079,0.5,1.5,1.0
2088,0.5,1.5,1.0
2097,0.5,1.5,1.0
2106,0.5,1.5,1.0
2115,0.5,1.5,1.0
2124,0.5,1.5,1.0
2133,0.5,1.5,1.0
2142,0.5,1.5,1.0
2151,0.5,1.5,1.0
2160,0.5,1.5,1.0
2169,0.5,1.5,1.0
2178,0.5,1.5,1.0
2187,0.5,1.5,1.0
2196,0.5,1.5,1.0
2205,0.5,1.5,1.0
2214,0.5,1.5,1.0
2223,0.5,1.5,1.0
2232,0.5,1.5,1.0
2241,0.5,1.5,1.0
2250,0.5,1.5,1.0
2259,0.5,1.5,1.0
2268,0.5,1.5,1.0
2277,0.5,1.5,1.0
2286,0.5,1.5,1.0
2295,0.5,1.5,1.0
2304,0.5,1.5,1.0
2313,0.5,1.5,1.0
2322,0.5,1.5,1.0
2331,0.5,1.5,1.0
2340,0.5,1.5,1.0
2349,0.5,1.5,1.0
2358,0.5,1.5,1.0
2367,0.5,1.5,1.0
2376,0.5,1.5,1.0
2385,0.5,1.5,1.0
2394,0.5,1.5,1.0
2403,0.5,1.5,1.0
2412,0.5,1.5,1.0
2421,0.5,1.5,1.0
2430,0.5,1.5,1.0
2439,0.5,1.5,1.0
2448,0.5,1.5,1.0
2457,0.5,1.5,1.0
2466,0.5,1.5,1.0
2475,0.5,1.5,1.0
2484,0.5,1.5,1.0
2493,0.5,1.5,1.0
2502,0.5,1.5,1.0
2511,0.5,1.5,1.0
2520,0.5,1.5,1.0
2529,0.5,1.5,1.0
2538,0.5,1.5,1.0
2547,0.5,1.5,1.0
2556,0.5,1.5,1.0
2565,0.5,1.5,1.0
2574,0.5,1.5,1.0
2583,0.5,1.5,1.0
2592,0.5,1.5,1.0
2601,0.5,1.5,1.0
2610,0.5,1.5,1.0
2619,0.5,1.5,1.0
2628,0.5,1.5,1.0
2637,0.5,1.5,1.0
2646,0.5,1.5,1.0
2655,0.5,1.5,1.0
2664,0.5,1.5,1.0
2673,0.5,1.5,1.0
2682,0.5,1.5,1.0
2691,0.5,1.5,1.0
2700,0.5,1.5,1.0
2709,0.5,1.5,1.0
2718,0.5,1.5,1.0
2727,0.5,1.5,1.0
2736,0.5,1.5,1.0
2745,0.5,1.5,1.0
2754,0.5,1.5,1.0
2763,0.5,1.5,1.0
2772,0.5,1.5,1.0
2781,0.5,1.5,1.0
2790,0.5,1.5,1.0
2799,0.5,1.5,1.0
2808,0.5,1.5,1.0
2817,0.5,1.5,1.0
2826,0.5,1.5,1.0
2835,0.5,1.5,1.0
2844,0.5,1.5,1.0
2853,0.5,1.5,1.0
2862,0.5,1.5,1.0
2871,0.5,1.5,1.0
2880,0.5,1.5,1.0
2889,0.5,1.5,1.0
2898,0.5,1.5,1.0
2907,0.5,1.5,1.0
2916,0.5,1.5,1.0
2925,0.5,1.5,1.0
2934,0.5,1.5,1.0
2943,0.5,1.5,1.0
2952,0.5,1.5,1.0
2961,0.5,1.5,1.0
2970,0.5,1.5,1.0
2979,0.5,1.5,1.0
2988,0.5,1.5,1.0
2997,0.5,1.5,1.0
3006,0.5,1.5,1.0
3015,0.5,1.5,1.0
3024,0.5,1.5,1.0
3033,0.5,1.5,1.0
3042,0.5,1.5,1.0
3051,0.5,1.5,1.0
3060,0.5,1.5,1.0
3069,0.5,1.5,1.0
3078,0.5,1.5,1.0
3087,0.5,1.5,1.0
3096,0.5,1.5,1.0
3105,0.5,1.5,1.0
3114,0.5,1.5,1.0
3123,0.5,1.5,1.0
3132,0.5,1.5,1.0
3141,0.5,1.5,1.0
3150,0.5,1.5,1.0
3159,0.5,1.5,1.0
3168,0.5,1.5,1.0
3177,0.5,1.5,1.0
3186,0.5,1.5,1.0
3195,0.5,1.5,1.0
3204,0.5,1.5,1.0
3213,0.5,1.5,1.0
3222,0.5,1.5,1.0
3231,0.5,1.5,1.0
3240,0.5,1.5,1.0
3249,0.5,1.5,1.0
3258,0.5,1.5,1.0
3267,0.5,1.5,1.0
3276,0.5,1.5,1.0
3285,0.5,1.5,1.0
3294,0.5,1.5,1.0
3303,0.5,1.5,1.0
3312,0.5,1.5,1.0
3321,0.5,1.5,1.0
3330,0.5,1.5,1.0
3339,0.5,1.5,1.0
3348,0.5,1.5,1.0
3357,0.5,1.5,1.0
3366,0.5,1.5,1.0
3375,0.5,1.5,1.0
3384,0.5,1.5,1.0
3393,0.5,1.5,1.0
3402,0.5,1.5,1.0
3411,0.5,1.5,1.0
3420,0.5,1.5,1.0
3429,0.5,1.5,1.0
3438,0.5,1.5,1.0
3447,0.5,1.5,1.0
3456,0.5,1.5,1.0
3465,0.5,1.5,1.0
3474,0.5,1.5,1.0
3483,0.5,1.5,1.0
3492,0.5,1.5,1.0
3501,0.5,1.5,1.0
3510,0.5,1.5,1.0
3519,0.5,1.5,1.0
3528,0.5,1.5,1.0
3537,0.5,1.5,1.0
3546,0.5,1.5,1.0
3555,0.5,1.5,1.0
3564,0.5,1.5,1.0
3573,0.5,1.5,1.0
3582,0.5,1.5,1.0
3591,0.5,1.5,1.0
