~iteration~,pos_eps,neg_eps
2691,0.01,0.01
2700,0.01,0.01
2709,0.01,0.01
2718,0.01,0.01
2727,0.01,0.01
2736,0.01,0.01
2745,0.01,0.01
2754,0.01,0.01
2763,0.01,0.01
2772,0.01,0.01
2781,0.01,0.01
2790,0.01,0.01
2799,0.01,0.01
2808,0.01,0.01
2817,0.01,0.01
2826,0.01,0.01
2835,0.01,0.01
2844,0.01,0.01
2853,0.01,0.01
2862,0.01,0.01
2871,0.01,0.01
2880,0.01,0.01
2889,0.01,0.01
2898,0.01,0.01
2907,0.01,0.01
2916,0.01,0.01
2925,0.01,0.01
2934,0.01,0.01
2943,0.01,0.01
2952,0.01,0.01
2961,0.01,0.01
2970,0.01,0.01
2979,0.01,0.01
2988,0.01,0.01
2997,0.01,0.01
3006,0.01,0.01
3015,0.01,0.01
3024,0.01,0.01
3033,0.01,0.01
3042,0.01,0.01
3051,0.01,0.01
3060,0.01,0.01
3069,0.01,0.01
3078,0.01,0.01
3087,0.01,0.01
3096,0.01,0.01
3105,0.01,0.01
3114,0.01,0.01
3123,0.01,0.01
3132,0.01,0.01
3141,0.01,0.01
3150,0.01,0.01
3159,0.01,0.01
3168,0.01,0.01
3177,0.01,0.01
3186,0.01,0.01
3195,0.01,0.01
3204,0.01,0.01
3213,0.01,0.01
3222,0.01,0.01
3231,0.01,0.01
3240,0.01,0.01
3249,0.01,0.01
3258,0.01,0.01
3267,0.01,0.01
3276,0.01,0.01
3285,0.01,0.01
3294,0.01,0.01
3303,0.01,0.01
3312,0.01,0.01
3321,0.01,0.01
3330,0.01,0.01
3339,0.01,0.01
3348,0.01,0.01
3357,0.01,0.01
3366,0.01,0.01
3375,0.01,0.01
3384,0.01,0.01
3393,0.01,0.01
3402,0.01,0.01
3411,0.01,0.01
3420,0.01,0.01
3429,0.01,0.01
3438,0.01,0.01
3447,0.01,0.01
3456,0.01,0.01
3465,0.01,0.01
3474,0.01,0.01
3483,0.01,0.01
3492,0.01,0.01
3501,0.01,0.01
3510,0.01,0.01
3519,0.01,0.01
3528,0.01,0.01
3537,0.01,0.01
3546,0.01,0.01
3555,0.01,0.01
3564,0.01,0.01
3573,0.01,0.01
3582,0.01,0.01
3591,0.01,0.01
