~iteration~,classifier_loss,total_loss,metric_loss
0,0.6989361643791199,0.6989361643791199,0.0
9,0.6971770524978638,0.6971770524978638,0.0
18,0.6958860158920288,0.6958860158920288,0.0
27,0.6945856809616089,0.6945856809616089,0.0
36,0.6936824321746826,0.6936824321746826,0.0
45,0.6928085684776306,0.6928085684776306,0.0
54,0.6926637291908264,0.6926637291908264,0.0
63,0.6927600502967834,0.6927600502967834,0.0
72,0.6922652125358582,0.6922652125358582,0.0
81,0.6917007565498352,0.6917007565498352,0.0
90,0.6915373206138611,0.6915373206138611,0.0
99,0.6910079717636108,0.6910079717636108,0.0
108,0.6897650957107544,0.6897650957107544,0.0
117,0.6870126724243164,0.6870126724243164,0.0
126,0.6894108057022095,0.6894108057022095,0.0
135,0.6813507080078125,0.6813507080078125,0.0
144,0.6773186922073364,0.6773186922073364,0.0
153,0.6592617034912109,0.6592617034912109,0.0
162,0.6381111741065979,0.6381111741065979,0.0
171,0.6225784420967102,0.6225784420967102,0.0
180,0.6050645112991333,0.6050645112991333,0.0
189,0.5578166246414185,0.5578166246414185,0.0
198,0.5091001391410828,0.5091001391410828,0.0
207,0.5730850100517273,0.5730850100517273,0.0
216,0.42350199818611145,0.42350199818611145,0.0
225,0.3032194674015045,0.3032194674015045,0.0
234,0.49421226978302,0.49421226978302,0.0
243,0.4859668016433716,0.4859668016433716,0.0
252,0.6809412240982056,0.6809412240982056,0.0
261,0.5706564784049988,0.5706564784049988,0.0
270,0.43924984335899353,0.43924984335899353,0.0
279,0.23792944848537445,0.23792944848537445,0.0
288,0.44052574038505554,0.44052574038505554,0.0
297,0.4300910234451294,0.4300910234451294,0.0
306,0.5452743172645569,0.5452743172645569,0.0
315,0.4505980610847473,0.4505980610847473,0.0
324,0.30064135789871216,0.30064135789871216,0.0
333,0.4501453638076782,0.4501453638076782,0.0
342,0.4282206594944,0.4282206594944,0.0
351,0.2467191517353058,0.2467191517353058,0.0
360,0.5497729182243347,0.5497729182243347,0.0
369,0.38569775223731995,0.38569775223731995,0.0
378,0.5261829495429993,0.5261829495429993,0.0
387,0.3390553593635559,0.3390553593635559,0.0
396,0.39691823720932007,0.39691823720932007,0.0
405,0.5619457364082336,0.5619457364082336,0.0
414,0.23709221184253693,0.23709221184253693,0.0
423,0.4424392580986023,0.4424392580986023,0.0
432,0.37729284167289734,0.37729284167289734,0.0
441,0.560653567314148,0.560653567314148,0.0
450,0.22671319544315338,0.22671319544315338,0.0
459,0.3797975778579712,0.3797975778579712,0.0
468,0.3945469558238983,0.3945469558238983,0.0
477,0.27082398533821106,0.27082398533821106,0.0
486,0.5639453530311584,0.5639453530311584,0.0
495,0.18746986985206604,0.18746986985206604,0.0
504,0.24569186568260193,0.24569186568260193,0.0
513,0.5147889852523804,0.5147889852523804,0.0
522,0.4708152711391449,0.4708152711391449,0.0
531,0.38753244280815125,0.38753244280815125,0.0
540,0.5350472927093506,0.5350472927093506,0.0
549,0.29927414655685425,0.29927414655685425,0.0
558,0.2744961082935333,0.2744961082935333,0.0
567,0.42680883407592773,0.42680883407592773,0.0
576,0.4841722548007965,0.4841722548007965,0.0
585,0.5617297887802124,0.5617297887802124,0.0
594,0.32052353024482727,0.32052353024482727,0.0
603,0.326729953289032,0.326729953289032,0.0
612,0.1758570373058319,0.1758570373058319,0.0
621,0.2789687216281891,0.2789687216281891,0.0
630,0.47132259607315063,0.47132259607315063,0.0
639,0.5198110342025757,0.5198110342025757,0.0
648,0.6358164548873901,0.6358164548873901,0.0
657,0.38465893268585205,0.38465893268585205,0.0
666,0.34668558835983276,0.34668558835983276,0.0
675,0.17062866687774658,0.17062866687774658,0.0
684,0.22718434035778046,0.22718434035778046,0.0
693,0.28221940994262695,0.28221940994262695,0.0
702,0.4480225443840027,0.4480225443840027,0.0
711,0.3228647708892822,0.3228647708892822,0.0
720,0.4553271532058716,0.4553271532058716,0.0
729,0.32630541920661926,0.32630541920661926,0.0
738,0.3756597340106964,0.3756597340106964,0.0
747,0.23999717831611633,0.23999717831611633,0.0
756,0.3771307170391083,0.3771307170391083,0.0
765,0.19566236436367035,0.19566236436367035,0.0
774,0.42481058835983276,0.42481058835983276,0.0
783,0.31788021326065063,0.31788021326065063,0.0
792,0.45706817507743835,0.45706817507743835,0.0
801,0.465095192193985,0.465095192193985,0.0
810,0.3666815757751465,0.3666815757751465,0.0
819,0.26650089025497437,0.26650089025497437,0.0
828,0.46375903487205505,0.46375903487205505,0.0
837,0.3140176236629486,0.3140176236629486,0.0
846,0.33097386360168457,0.33097386360168457,0.0
855,0.43652549386024475,0.43652549386024475,0.0
864,0.33404555916786194,0.33404555916786194,0.0
873,0.4066835939884186,0.4066835939884186,0.0
882,0.3573017120361328,0.3573017120361328,0.0
891,0.21990521252155304,0.21990521252155304,0.0
900,0.32797977328300476,0.32797977328300476,0.0
909,0.3719341456890106,0.3719341456890106,0.0
918,0.3864002823829651,0.3864002823829651,0.0
927,0.24899405241012573,0.24899405241012573,0.0
936,0.27381274104118347,0.27381274104118347,0.0
945,0.33172881603240967,0.33172881603240967,0.0
954,0.21199814975261688,0.21199814975261688,0.0
963,0.2665080726146698,0.2665080726146698,0.0
972,0.3424505591392517,0.3424505591392517,0.0
981,0.37454506754875183,0.37454506754875183,0.0
