~iteration~,classifier_loss,total_loss,metric_loss
1359,1,1.0,1.0
1368,1,1.0,1.0
1377,1,1.0,1.0
1386,1,1.0,1.0
1395,1,1.0,1.0
1404,1,1.0,1.0
1413,1,1.0,1.0
1422,1,1.0,1.0
1431,1,1.0,1.0
1440,1,1.0,1.0
1449,1,1.0,1.0
1458,1,1.0,1.0
1467,1,1.0,1.0
1476,1,1.0,1.0
1485,1,1.0,1.0
1494,1,1.0,1.0
1503,1,1.0,1.0
1512,1,1.0,1.0
1521,1,1.0,1.0
1530,1,1.0,1.0
1539,1,1.0,1.0
1548,1,1.0,1.0
1557,1,1.0,1.0
1566,1,1.0,1.0
1575,1,1.0,1.0
1584,1,1.0,1.0
1593,1,1.0,1.0
1602,1,1.0,1.0
1611,1,1.0,1.0
1620,1,1.0,1.0
1629,1,1.0,1.0
1638,1,1.0,1.0
1647,1,1.0,1.0
1656,1,1.0,1.0
1665,1,1.0,1.0
1674,1,1.0,1.0
1683,1,1.0,1.0
1692,1,1.0,1.0
1701,1,1.0,1.0
1710,1,1.0,1.0
1719,1,1.0,1.0
1728,1,1.0,1.0
1737,1,1.0,1.0
1746,1,1.0,1.0
1755,1,1.0,1.0
1764,1,1.0,1.0
1773,1,1.0,1.0
1782,1,1.0,1.0
1791,1,1.0,1.0
1800,1,1.0,1.0
1809,1,1.0,1.0
1818,1,1.0,1.0
1827,1,1.0,1.0
1836,1,1.0,1.0
1845,1,1.0,1.0
1854,1,1.0,1.0
1863,1,1.0,1.0
1872,1,1.0,1.0
1881,1,1.0,1.0
1890,1,1.0,1.0
1899,1,1.0,1.0
1908,1,1.0,1.0
1917,1,1.0,1.0
1926,1,1.0,1.0
1935,1,1.0,1.0
1944,1,1.0,1.0
1953,1,1.0,1.0
1962,1,1.0,1.0
1971,1,1.0,1.0
1980,1,1.0,1.0
1989,1,1.0,1.0
1998,1,1.0,1.0
2007,1,1.0,1.0
2016,1,1.0,1.0
2025,1,1.0,1.0
2034,1,1.0,1.0
2043,1,1.0,1.0
2052,1,1.0,1.0
2061,1,1.0,1.0
2070,1,1.0,1.0
2079,1,1.0,1.0
2088,1,1.0,1.0
2097,1,1.0,1.0
2106,1,1.0,1.0
2115,1,1.0,1.0
2124,1,1.0,1.0
2133,1,1.0,1.0
2142,1,1.0,1.0
2151,1,1.0,1.0
2160,1,1.0,1.0
2169,1,1.0,1.0
2178,1,1.0,1.0
2187,1,1.0,1.0
