~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy,folder_name
19,19,0.859375,0.9637681159420288,0.6755695556533788,0.90625,0.7641748366013073,19,0.9637681159420288,data_0_0
49,49,0.84375,0.9504830917874396,0.7134762924532922,0.859375,0.7952001633986929,49,0.9504830917874396,data_0_1
45,45,0.8125,0.9541062801932368,0.7341910384165864,0.890625,0.8050040849673203,45,0.9541062801932368,data_0_2
99,99,0.84375,0.8726467331118491,0.5557376347922837,0.765625,0.6886904761904762,99,0.8726467331118491,data_1_0
97,97,0.78125,0.8239202657807309,0.4686659608150743,0.640625,0.6379092261904762,97,0.8239202657807309,data_1_1
97,97,0.796875,0.8626799557032115,0.5257423923881367,0.65625,0.6723958333333333,97,0.8626799557032115,data_1_2
56,56,0.90625,0.9830328738069988,0.7381713916344556,0.90625,0.8079900568181819,56,0.9830328738069988,data_2_0
68,68,0.921875,0.9628844114528102,0.7315575409537423,0.90625,0.8050426136363636,68,0.9628844114528102,data_2_1
47,47,0.921875,0.9872746553552492,0.7120954428621741,0.84375,0.7873934659090909,47,0.9872746553552492,data_2_2
42,42,0.873015873015873,0.9456762749445676,0.6200865579925485,0.8095238095238095,0.7185185185185184,42,0.9456762749445676,data_3_0
89,89,0.9206349206349206,0.9390243902439024,0.6458266189469417,0.8412698412698412,0.7453325774754346,89,0.9390243902439024,data_3_1
76,76,0.873015873015873,0.9467849223946784,0.6396567988685254,0.8253968253968254,0.7365457294028722,76,0.9467849223946784,data_3_2
25,25,0.8095238095238095,0.9201773835920176,0.5541014795558763,0.7936507936507936,0.690079365079365,25,0.9201773835920176,data_4_0
19,19,0.7936507936507936,0.925720620842572,0.5544997044478949,0.8253968253968254,0.684882842025699,19,0.925720620842572,data_4_1
93,93,0.7936507936507936,0.91019955654102,0.5996067478593001,0.7777777777777777,0.7113378684807257,93,0.91019955654102,data_4_2
