epoch,best_auc_HOLD_OUT_vs_self/epoch,best_auc_HOLD_OUT_vs_self/acc_yinda_level0,best_auc_HOLD_OUT_vs_self/auc_yinda_level0,best_auc_HOLD_OUT_vs_self/mean_average_precision_at_r_level0,best_auc_HOLD_OUT_vs_self/precision_at_1_level0,best_auc_HOLD_OUT_vs_self/r_precision_level0,best_auc_HOLD_OUT_vs_self/best_epoch,best_auc_HOLD_OUT_vs_self/best_accuracy
1,1.0,0.8888888955116272,0.24500000476837158,0.7783713936805725,0.8444444537162781,0.8297720551490784,1.0,0.24500000476837158
2,2.0,0.8888888955116272,0.19499999284744263,0.7838395237922668,0.8444444537162781,0.8331908583641052,1.0,0.24500000476837158
3,3.0,0.8888888955116272,0.16500000655651093,0.7831248641014099,0.8444444537162781,0.833760678768158,1.0,0.24500000476837158
4,4.0,0.8888888955116272,0.14499999582767487,0.7813575863838196,0.8444444537162781,0.8293447494506836,1.0,0.24500000476837158
5,5.0,0.8888888955116272,0.11500000208616257,0.7836456894874573,0.8222222328186035,0.831623911857605,1.0,0.24500000476837158
6,6.0,0.8888888955116272,0.10499999672174454,0.7804584503173828,0.8222222328186035,0.8293447494506836,1.0,0.24500000476837158
7,7.0,0.8888888955116272,0.09000000357627869,0.7789623737335205,0.8222222328186035,0.8309116959571838,1.0,0.24500000476837158
8,8.0,0.8888888955116272,0.07500000298023224,0.7809880375862122,0.8222222328186035,0.8353276252746582,1.0,0.24500000476837158
9,9.0,0.8888888955116272,0.06499999761581421,0.7820737957954407,0.800000011920929,0.8364672660827637,1.0,0.24500000476837158
10,10.0,0.8888888955116272,0.05999999865889549,0.7833578586578369,0.8222222328186035,0.8353276252746582,1.0,0.24500000476837158
11,11.0,0.8888888955116272,0.054999999701976776,0.783846378326416,0.8666666746139526,0.8347578644752502,1.0,0.24500000476837158
12,12.0,0.8888888955116272,0.04500000178813934,0.7855037450790405,0.8666666746139526,0.8353276252746582,1.0,0.24500000476837158
13,13.0,0.8888888955116272,0.03999999910593033,0.7919782996177673,0.9333333373069763,0.8347578644752502,1.0,0.24500000476837158
14,14.0,0.8888888955116272,0.029999999329447746,0.7890478372573853,0.8888888955116272,0.8347578644752502,1.0,0.24500000476837158
15,15.0,0.8888888955116272,0.029999999329447746,0.784839391708374,0.8666666746139526,0.8347578644752502,1.0,0.24500000476837158
16,16.0,0.8888888955116272,0.03500000014901161,0.7957735657691956,0.8888888955116272,0.8450142741203308,1.0,0.24500000476837158
