epoch,best_auc_HOLD_OUT_vs_self/auc_yinda_level0,best_auc_HOLD_OUT_vs_self/precision_at_1_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/epoch,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/acc_yinda_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/mean_average_precision_at_r_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/r_precision_level0,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/best_epoch,best_auc_TOTAL_WITHOUT_TRAIN_vs_self/best_accuracy
1,0.24500000476837158,0.8444444537162781,1.0,0.6506849527359009,0.4614010751247406,0.6171932220458984,1.0,0.29267287254333496
2,0.19499999284744263,0.8444444537162781,2.0,0.6506849527359009,0.47209683060646057,0.6259399652481079,1.0,0.29267287254333496
3,0.16500000655651093,0.8444444537162781,3.0,0.6506849527359009,0.48227447271347046,0.6323637366294861,1.0,0.29267287254333496
4,0.14499999582767487,0.8444444537162781,4.0,0.6506849527359009,0.48666268587112427,0.6366744637489319,1.0,0.29267287254333496
5,0.11500000208616257,0.8222222328186035,5.0,0.6506849527359009,0.48787325620651245,0.6382337808609009,1.0,0.29267287254333496
6,0.10499999672174454,0.8222222328186035,6.0,0.6506849527359009,0.48747509717941284,0.6400582790374756,1.0,0.29267287254333496
7,0.09000000357627869,0.8222222328186035,7.0,0.6506849527359009,0.4876701831817627,0.6431681513786316,1.0,0.29267287254333496
8,0.07500000298023224,0.8222222328186035,8.0,0.6506849527359009,0.4851495325565338,0.6424657702445984,1.0,0.29267287254333496
9,0.06499999761581421,0.800000011920929,9.0,0.6506849527359009,0.48120787739753723,0.6410754919052124,1.0,0.29267287254333496
10,0.05999999865889549,0.8222222328186035,10.0,0.6506849527359009,0.47997745871543884,0.6401836276054382,1.0,0.29267287254333496
11,0.054999999701976776,0.8666666746139526,11.0,0.6506849527359009,0.48087674379348755,0.6409501433372498,1.0,0.29267287254333496
12,0.04500000178813934,0.8666666746139526,12.0,0.6506849527359009,0.4938967823982239,0.6507753133773804,1.0,0.29267287254333496
13,0.03999999910593033,0.9333333373069763,13.0,0.6506849527359009,0.499465674161911,0.6539930105209351,1.0,0.29267287254333496
14,0.029999999329447746,0.8888888955116272,14.0,0.6506849527359009,0.5052420496940613,0.6569659113883972,1.0,0.29267287254333496
15,0.029999999329447746,0.8666666746139526,15.0,0.6506849527359009,0.5140092968940735,0.6615738868713379,1.0,0.29267287254333496
16,0.03500000014901161,0.8888888955116272,16.0,0.6506849527359009,0.5243633389472961,0.668877899646759,1.0,0.29267287254333496
17,0.07999999821186066,0.8222222328186035,17.0,0.6506849527359009,0.5312662720680237,0.6734625697135925,1.0,0.29267287254333496
18,0.1550000011920929,0.8222222328186035,18.0,0.6506849527359009,0.5323827266693115,0.6741299629211426,18.0,0.3562435507774353
19,0.3050000071525574,0.800000011920929,19.0,0.6506849527359009,0.5351563692092896,0.6760623455047607,19.0,0.4767801761627197
20,0.45500001311302185,0.800000011920929,20.0,0.6506849527359009,0.5363027453422546,0.6772719621658325,20.0,0.5832817554473877
21,0.625,0.8222222328186035,21.0,0.6506849527359009,0.5292807221412659,0.6710492372512817,21.0,0.647678017616272
22,0.6899999976158142,0.8222222328186035,22.0,0.6506849527359009,0.5222684741020203,0.6654911041259766,22.0,0.6930856704711914
23,0.7250000238418579,0.8222222328186035,23.0,0.6506849527359009,0.528810441493988,0.6716904640197754,23.0,0.729411780834198
24,0.7649999856948853,0.8222222328186035,24.0,0.6506849527359009,0.5290488600730896,0.6702827215194702,24.0,0.7624354958534241
25,0.8199999928474426,0.8222222328186035,25.0,0.6506849527359009,0.5302243828773499,0.6696240305900574,25.0,0.7851393222808838
26,0.8349999785423279,0.8222222328186035,26.0,0.6506849527359009,0.5314422845840454,0.6713465452194214,26.0,0.7981424331665039
27,0.8349999785423279,0.800000011920929,27.0,0.6506849527359009,0.5248495936393738,0.6662896871566772,27.0,0.8051599860191345
28,0.8299999833106995,0.7777777910232544,28.0,0.6506849527359009,0.5216453075408936,0.662987470626831,28.0,0.8134158849716187
29,0.8399999737739563,0.7777777910232544,29.0,0.6506849527359009,0.5209324955940247,0.6597668528556824,29.0,0.819195032119751
30,0.8600000143051147,0.7777777910232544,30.0,0.6506849527359009,0.5212684273719788,0.6611716747283936,30.0,0.8288957476615906
31,0.8650000095367432,0.7777777910232544,31.0,0.6506849527359009,0.5226576328277588,0.6629058718681335,31.0,0.8355005383491516
32,0.8650000095367432,0.7777777910232544,32.0,0.6506849527359009,0.5276901125907898,0.6685864329338074,32.0,0.8398348689079285
33,0.875,0.7555555701255798,33.0,0.6506849527359009,0.5172116756439209,0.6593267321586609,33.0,0.8406604528427124
34,0.8650000095367432,0.7777777910232544,34.0,0.6506849527359009,0.5100832581520081,0.6529699563980103,34.0,0.8421052694320679
35,0.8650000095367432,0.800000011920929,35.0,0.6506849527359009,0.520939826965332,0.6613348722457886,35.0,0.8437564373016357
36,0.8650000095367432,0.7777777910232544,36.0,0.6506849527359009,0.528969943523407,0.6705158948898315,36.0,0.8445820212364197
37,0.8700000047683716,0.7777777910232544,37.0,0.6506849527359009,0.5125581622123718,0.6566190719604492,37.0,0.8487100005149841
38,0.8700000047683716,0.7777777910232544,38.0,0.6506849527359009,0.5138164758682251,0.6574322581291199,38.0,0.8515995740890503
39,0.8650000095367432,0.800000011920929,39.0,0.6506849527359009,0.5409133434295654,0.6784610748291016,39.0,0.8530443906784058
40,0.8650000095367432,0.800000011920929,40.0,0.6506849527359009,0.5411314368247986,0.6791110634803772,40.0,0.8557275533676147
41,0.8849999904632568,0.7777777910232544,41.0,0.6506849527359009,0.5083253979682922,0.6552958488464355,41.0,0.857791543006897
42,0.8849999904632568,0.7555555701255798,42.0,0.6506849527359009,0.5157135128974915,0.6605246067047119,42.0,0.8600619435310364
43,0.8799999952316284,0.7777777910232544,43.0,0.6506849527359009,0.5282166600227356,0.6694986820220947,43.0,0.8621258735656738
44,0.8799999952316284,0.800000011920929,44.0,0.6506849527359009,0.5215176343917847,0.6647828817367554,43.0,0.8621258735656738
45,0.8799999952316284,0.800000011920929,45.0,0.6506849527359009,0.5240020751953125,0.6660740375518799,45.0,0.8639835119247437
46,0.8799999952316284,0.7777777910232544,46.0,0.6506849527359009,0.5234456062316895,0.6656106114387512,45.0,0.8639835119247437
47,0.8700000047683716,0.800000011920929,47.0,0.6506849527359009,0.5406786799430847,0.681323230266571,47.0,0.8646026849746704
48,0.875,0.800000011920929,48.0,0.6506849527359009,0.5256308317184448,0.667312741279602,48.0,0.8655315041542053
49,0.875,0.800000011920929,49.0,0.6506849527359009,0.5197258591651917,0.6623346209526062,48.0,0.8655315041542053
