Dim1,Dim2
8.9877405,5.0697637
8.601863,6.9107876
9.174512,6.3349195
8.789249,5.958201
7.938222,6.95555
7.4823847,4.450142
5.6542706,5.7549734
11.140298,8.1424465
7.4637685,4.455679
8.5437565,7.2053175
9.918039,6.1828513
8.77996,5.668092
7.674128,5.770617
11.043628,7.7737093
6.0232368,5.294475
7.255559,5.449505
10.740385,6.5914655
11.862829,7.5071845
10.909984,8.011983
10.444361,7.582708
11.200783,7.467681
8.324065,4.9161577
10.425598,7.186482
10.670926,7.5423737
7.5147123,4.5159445
5.558844,4.798953
10.308847,7.172129
10.228677,8.261729
9.380303,5.849423
11.841782,7.7395597
8.349609,5.688304
11.647711,7.632158
7.657833,4.8304195
5.837089,4.5289154
1.4449191,3.8098094
2.3395145,4.039397
0.364024,3.9067168
2.2195737,4.616795
-1.5773114,3.0967932
-0.2167163,2.991947
1.9317998,3.921708
-0.012149606,3.7994363
1.420972,3.3750596
3.6061904,4.49447
2.7862675,4.1466637
0.5852009,3.765477
0.84328777,2.881246
0.106154464,3.8688676
5.517818,5.7766523
2.5517924,3.9351957
0.6630074,3.9127414
10.737198,8.198628
1.8805398,3.9670568
0.51435894,3.9269354
0.7888456,3.4773679
0.51423484,2.635407
5.7105374,5.665833
4.1637745,4.4906187
11.552296,7.142243
11.556142,6.9118505
8.255063,5.8415127
11.731281,7.8540144
6.0852337,4.548509
3.3934176,3.7986758
3.4504678,4.185973
6.732079,5.727592
11.314713,8.190402
2.5257049,4.05401
8.170056,4.7859664
6.152328,4.599978
5.339449,4.659546
11.605725,7.942927
5.8860583,4.683332
5.6088405,4.615804
11.071405,7.8216424
9.370083,5.1520195
4.818845,5.407575
10.412734,7.30546
5.25662,4.6023717
10.827401,7.603627
9.488999,6.7724953
2.7461889,3.3711772
3.4560585,4.2862773
-1.606731,2.9900525
5.7711134,4.5558615
5.3223486,4.646009
1.0171843,3.6209865
2.3238006,4.5798607
7.3993287,4.674399
10.491839,8.345608
10.836658,8.1985445
7.620848,5.420491
11.163493,7.979541
10.52081,8.318598
6.8348775,5.55709
7.2494283,5.808711
2.928801,3.5575736
7.5723257,5.7307105
10.890151,6.4856977
11.777107,7.699273
3.0629802,4.418149
11.614221,7.243511
2.7781098,4.3413715
3.5436723,3.8445556
4.6411953,5.4378467
9.993213,8.080862
10.0662365,6.370137
8.253686,6.9647646
10.337671,7.726493
11.604637,7.362254
11.450421,7.995102
7.402771,4.487607
8.450663,7.114815
3.0397966,4.225817
7.0113845,5.1789627
7.671859,4.7374887
9.313332,5.758019
8.536846,7.699977
11.07745,7.3591056
8.704342,5.644366
11.544566,7.7857585
8.582455,7.6518974
-0.15021996,3.4032583
10.899373,7.8942413
6.188794,6.0002823
2.8821363,4.4230385
7.117176,4.9003615
1.4839972,4.064159
-1.6626732,3.2521079
-1.6579286,3.0616868
-1.270834,3.5323875
-0.028145025,3.245968
-1.2255278,2.740691
-0.6476498,2.8038185
2.6791484,3.3378289
7.0234504,6.0783734
-1.6011475,3.1748729
1.6939441,4.1589103
3.1061926,3.6782746
8.119373,6.793635
0.8772829,2.91967
0.70105094,2.4776478
-1.2623852,3.3055465
-1.4400005,3.0258896
1.7604969,3.6008093
1.7561531,3.6560888
-1.2409943,2.9237485
4.8393903,5.4861903
10.798856,5.787242
8.118196,6.414564
11.539009,6.8636208
11.075835,6.029484
1.7456727,4.355953
2.5164213,3.8481936
11.268725,6.2595654
9.918417,6.8697877
7.81748,5.465512
10.964743,8.0849495
8.436342,5.187652
4.70664,5.3407617
8.014703,5.3392787
3.2435317,3.8074281
6.0458302,5.2654953
4.3961806,4.70261
1.2199436,2.7887707
5.499221,5.851867
7.0571847,4.8275847
3.8102202,4.407251
1.7957835,3.1822505
7.063234,5.351505
5.1005273,5.559759
1.5105157,3.7223687
9.546441,5.2073793
8.394097,7.5579615
4.157507,4.6139503
9.24842,5.205832
7.4703684,5.0847635
7.090152,6.27599
11.177287,8.267716
