0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
-0.09063402,-0.09097661,-0.018701628,0.09270943,-0.14064234,0.3778924,0.07489938,0.04660049,0.20647255,-0.27076608,-0.01775063,0.43569753,0.048136804,0.02800854,-0.053579897,0.17808421,0.03918715,0.3791496,0.05820595,-0.12504946,-0.19608954,-0.16663688,0.10480809,-0.07751208,0.08647893,-0.11043467,0.06819676,0.0026427102,-0.31942883,-0.21983624,-0.12128138,0.15326194,1.0
-0.1143755,-0.08694668,-0.06834982,0.13498566,-0.17541912,0.3042582,0.055051688,0.03468524,0.19403996,-0.29430375,-0.0824942,0.43339157,0.06728097,0.044769607,-0.12733494,0.08413543,0.14904442,0.3745964,-0.0414294,-0.20683418,-0.19597766,-0.113405,-0.0002714034,-0.05922372,0.023212042,-0.09245805,0.009486279,0.06418464,-0.32788995,-0.17765075,-0.14944795,0.20892861,1.0
-0.1398865,-0.05733335,-0.10450216,0.17725722,-0.13770758,0.25737265,0.03493224,0.0040835133,0.15722011,-0.18911767,-0.15418775,0.39926744,0.16095817,0.05797968,-0.17239502,0.019574514,0.19349416,0.41815388,-0.15803558,-0.19506153,-0.17469458,-0.032657128,0.017945921,-0.093151316,-0.09870133,-0.03359209,0.007882094,0.10402591,-0.3090916,-0.08673623,-0.22393961,0.23335385,1.0
-0.14932768,-0.055938132,-0.09851155,0.14897588,-0.14539674,0.31794932,0.04729521,-0.0011067953,0.17209509,-0.28582424,-0.03860997,0.43149456,0.100434184,-0.025033535,-0.106128536,0.077287994,0.14518456,0.4140014,-0.022727692,-0.15346031,-0.1379377,-0.19100592,0.005090442,-0.049087234,0.02726699,-0.11598769,0.026378702,0.01458843,-0.34185717,-0.20117596,-0.13157605,0.16437556,1.0
-0.09269389,-0.049363762,-0.088574044,0.14717533,-0.11959389,0.35898623,0.05317325,0.048812427,0.14993387,-0.31472924,-0.0507783,0.39810807,0.081727736,0.00019582413,-0.1081799,0.1367904,0.08120233,0.36297485,0.011673491,-0.15085508,-0.20146742,-0.17831436,0.08540703,-0.07363655,0.0598918,-0.11953069,0.04502424,0.0027431846,-0.36139402,-0.20793295,-0.14498521,0.17399032,1.0
-0.13391083,-0.030444775,-0.102372326,0.17851318,-0.14661066,0.30859438,0.08272657,0.04476037,0.13050345,-0.22156142,-0.12759338,0.4179895,0.16131733,0.004604896,-0.12929808,0.062217824,0.16565812,0.3652935,-0.07817772,-0.10445937,-0.19229534,-0.04663206,0.11790166,-0.15220767,-0.05354836,-0.1304072,0.018599048,0.02033442,-0.3790797,-0.15039791,-0.20601882,0.16108698,1.0
-0.08573312,-0.11346361,-0.08024201,0.110126294,-0.1604001,0.3569734,0.04657791,0.014471622,0.14754257,-0.2780253,-0.07366021,0.45183593,0.06942485,-0.0050785793,-0.06364428,0.103415355,0.101607956,0.40396243,-0.0013418632,-0.1299059,-0.16746421,-0.13673803,0.08813762,-0.12294553,0.028764121,-0.07450822,0.01079677,0.04105093,-0.33842131,-0.16304648,-0.186717,0.18238209,1.0
-0.07592954,-0.13472982,-0.15017083,0.14224601,-0.11093278,0.38201472,0.021906381,0.06067492,0.15105933,-0.3082192,-0.009076893,0.41128132,0.023443975,-0.109281056,-0.0012644606,0.18738219,0.09149118,0.31505388,0.11281941,-0.10172896,-0.227499,-0.18748526,0.11550285,-0.080818854,0.101072356,-0.14230575,-0.007355258,-0.030732092,-0.3286734,-0.18790278,-0.08429129,0.12979546,1.0
-0.02742236,-0.13894777,-0.046759803,0.037683863,-0.11535758,0.34505233,0.036310628,0.07536429,0.16012049,-0.25002727,0.069759876,0.39670092,-0.1000363,-0.09724331,0.10091272,0.25477684,-0.034884386,0.25240162,0.22745885,0.024333786,-0.1295704,-0.25504607,0.15770255,-0.09282224,0.2064073,-0.16415992,0.055747613,-0.11099084,-0.27023643,-0.31134626,0.03426022,0.057676155,1.0
-0.10613181,-0.06727838,-0.08122246,0.18203804,-0.16326302,0.27926236,0.016936854,0.04215935,0.17638363,-0.26668304,-0.08364451,0.38020298,0.104289085,0.07645197,-0.10377617,0.08946269,0.13163617,0.4123896,-0.049883444,-0.18688338,-0.16365324,-0.11242333,0.05657378,-0.07000769,-0.010839016,-0.070145115,0.021442613,0.07007893,-0.3730023,-0.13808785,-0.20318988,0.25742638,1.0
-0.063083544,-0.11983724,-0.03773792,0.08515698,-0.13062836,0.37532064,0.046912234,0.060935397,0.20022172,-0.2721942,-0.027794806,0.41039622,0.0016156435,-0.028475165,-0.0026361416,0.1846538,0.028446227,0.3973902,0.08931108,-0.10836166,-0.17069618,-0.20301533,0.12093694,-0.08549511,0.09109245,-0.111102514,0.054455392,-0.008572966,-0.30923757,-0.2521638,-0.070485614,0.17958142,1.0
-0.084842406,-0.079753764,-0.10065956,0.077136025,-0.10662956,0.4328403,0.081711754,0.022549983,0.0966504,-0.30025396,-0.022212878,0.45804495,-0.013591806,-0.11728246,-0.017231854,0.159234,0.03572963,0.3140718,0.12174842,-0.083541855,-0.2215304,-0.20437509,0.088837236,-0.107252665,0.12576242,-0.10208195,-0.016287882,-0.043113608,-0.30301848,-0.2193473,-0.06852494,0.100590244,1.0
0.0059987255,-0.116554916,0.010463952,0.025471285,-0.10286391,0.3888859,0.058770124,0.0040829675,0.08912245,-0.32514882,0.07092293,0.38219625,-0.12494587,-0.15096676,0.054385208,0.23832393,-0.0690267,0.23587303,0.2597029,-0.03037368,-0.14492477,-0.25720212,0.072994776,-0.046920054,0.21693046,-0.1508671,0.028479476,-0.10539317,-0.2354709,-0.3088701,0.035505664,0.010413815,1.0
-0.09789132,-0.09217902,-0.05483382,0.14025585,-0.2051697,0.40687108,0.039586976,-0.008053047,0.16547947,-0.24302909,-0.020740315,0.4664176,0.032319944,-0.038512427,-0.057691686,0.14096905,0.08696648,0.37357676,0.053630006,-0.08579146,-0.21046506,-0.13637246,0.053395417,-0.061651684,0.031186085,-0.100796565,-0.035171166,0.01748317,-0.33123848,-0.19477455,-0.1242623,0.13093583,1.0
-0.094107844,-0.07843076,-0.12825762,0.085485086,-0.13211948,0.39603683,0.065290175,0.07582512,0.109596185,-0.23298721,-0.055386122,0.5027365,0.09973521,-0.042051926,-0.09434494,0.098482825,0.14286722,0.2891522,0.0075928206,-0.055756766,-0.24092446,-0.09977808,0.13167834,-0.16040786,0.040873997,-0.14695324,-0.0372453,-0.031419806,-0.33039013,-0.17708693,-0.16361412,0.115396015,1.0
-0.10187492,-0.07805347,-0.093804464,0.1651935,-0.12250319,0.34097448,0.019637076,0.0056895493,0.17447446,-0.2533127,-0.08155783,0.40661865,0.048615016,0.01608312,-0.09674611,0.15716416,0.118428916,0.42907447,-0.02227342,-0.16921203,-0.20878069,-0.14727768,0.05162506,-0.04295467,-0.0053106034,-0.073143944,0.05356045,0.055438217,-0.34333304,-0.16865495,-0.15181284,0.18636468,1.0
-0.108259596,-0.06627696,-0.07876814,0.16156997,-0.17574123,0.3355646,0.045042112,-0.012066698,0.13462205,-0.23186906,-0.09658897,0.45323488,0.07622583,0.035265516,-0.12650654,0.10343807,0.09876585,0.42681497,-0.03657216,-0.14161669,-0.20102902,-0.118874475,0.0334624,-0.07985974,0.002922589,-0.067655586,-0.0020455718,0.0650109,-0.34579954,-0.15890288,-0.16855702,0.16764554,1.0
-0.05984596,-0.11957785,-0.09994684,0.14238891,-0.1792717,0.35000893,0.0030671388,0.006561053,0.148525,-0.3289339,-0.0052126325,0.41824093,0.06462162,-0.06355689,-0.065993436,0.14104801,0.059514686,0.34604397,0.07465019,-0.09025091,-0.15662278,-0.20905434,0.09003357,-0.09622311,0.09738638,-0.1257787,-0.0020496335,-0.01765554,-0.34875888,-0.22699907,-0.121408336,0.15282768,1.0
-0.050324336,-0.11134514,-0.0724996,0.06883043,-0.12609547,0.39451012,0.08911381,0.049919046,0.17114046,-0.28625977,-0.061876617,0.42811134,0.02182857,-0.040694192,-0.00828002,0.18149143,0.042472616,0.35093516,0.065689996,-0.09126036,-0.18266718,-0.13351542,0.13878477,-0.13468999,0.08928599,-0.11714247,0.05362153,0.007560442,-0.32186013,-0.23866072,-0.0971032,0.19701411,1.0
-0.09236884,-0.0769411,-0.0483519,0.12758245,-0.15934737,0.35355368,0.06610171,0.06893695,0.1797769,-0.24840674,-0.0968594,0.41553998,0.103387326,0.066325404,-0.09347971,0.08920831,0.09266632,0.40089417,-0.037660655,-0.15585347,-0.19424304,-0.09116564,0.081758745,-0.095659584,0.015818538,-0.09409316,0.017409744,0.062397067,-0.3349578,-0.16596884,-0.18404686,0.23611316,1.0
-0.05780426,-0.11430441,-0.016295323,0.12112743,-0.15883596,0.34955463,0.040468708,0.027585464,0.19050293,-0.2736436,0.037796397,0.40140644,-0.015036315,-0.025412802,-0.009480956,0.2075532,0.020728456,0.3645067,0.151368,-0.040047217,-0.12652832,-0.25826055,0.11053559,-0.042976547,0.12871687,-0.17852014,0.0658618,-0.03847167,-0.319207,-0.28679666,-0.043166794,0.07889086,1.0
0.008019853,-0.17852099,-0.023752846,-0.024006581,-0.14107269,0.3603186,0.051545903,0.10854162,0.108425915,-0.3254707,0.08084209,0.42908365,-0.09468697,-0.114288345,0.049350668,0.17158017,-0.017415082,0.117218696,0.23102942,0.0018111775,-0.15662034,-0.23496854,0.0939732,-0.07573659,0.2856968,-0.21145974,-0.007963482,-0.13694528,-0.19361626,-0.30716598,0.033431847,-0.026042074,0.0
-0.007661668,-0.13997252,-0.029460192,-0.036180597,-0.14451173,0.39566773,0.073794164,0.0137903085,0.1335708,-0.3176804,0.037704676,0.39134946,-0.07601542,-0.14007339,0.06663857,0.17647777,-0.06343887,0.23900908,0.219775,0.07381096,-0.0778921,-0.22601227,0.080059975,-0.07604371,0.23128662,-0.16695708,0.05025758,-0.10766568,-0.24909501,-0.3382175,0.066768035,0.012433072,0.0
0.021444181,-0.13529673,0.010308951,-0.04122714,-0.08817208,0.35151476,0.07327169,0.08010503,0.08223885,-0.3160614,0.08794267,0.3597161,-0.13075393,-0.14626452,0.09230609,0.2141459,-0.098305,0.119711705,0.28413805,0.019078352,-0.124543,-0.26629388,0.11204979,-0.082153395,0.29811546,-0.18507518,0.028991263,-0.14971676,-0.1672191,-0.32715404,0.08021626,-0.031958204,0.0
0.026004072,-0.14486684,-0.00018078127,-0.08168361,-0.11573663,0.37113097,0.09488133,0.11921819,0.093739614,-0.3134644,0.05728241,0.40828732,-0.091300845,-0.11111651,0.056805097,0.17017192,-0.060353316,0.10822184,0.24019834,0.029935291,-0.15303902,-0.22327873,0.121969864,-0.12511067,0.2898827,-0.21507457,0.0038888033,-0.13377838,-0.17960326,-0.32473084,0.057592075,-0.021141663,0.0
-0.08530663,-0.12129885,-0.04208823,0.0973005,-0.13210787,0.3382568,0.05579044,0.10067767,0.21689714,-0.29634503,-0.06420164,0.4207049,-0.0013978081,0.0036305743,-0.038691282,0.16281836,0.06702625,0.37479636,0.075846665,-0.14174862,-0.20050716,-0.16995391,0.092050426,-0.06677492,0.103274435,-0.1301774,0.05724134,-0.0061002383,-0.3149668,-0.24943805,-0.06900656,0.16646297,0.0
-0.06735889,-0.09671032,-0.023952145,0.089294635,-0.1309498,0.4093488,0.06423846,0.049588248,0.14677025,-0.3197874,-0.016772658,0.4549046,0.009763049,-0.032517236,-0.038275555,0.14204557,0.07251725,0.3160001,0.124526195,-0.12117353,-0.18781266,-0.19983467,0.0867829,-0.09292854,0.100062445,-0.13214481,-0.0022082976,-0.020039413,-0.29952237,-0.22967868,-0.1080637,0.15407458,0.0
0.021459159,-0.13875467,-0.0013220411,-0.085604414,-0.0992079,0.36510262,0.08001928,0.087100945,0.093260095,-0.3097546,0.07621356,0.3948837,-0.10596464,-0.13577634,0.072675146,0.19048886,-0.06576703,0.1140696,0.2606257,0.036005203,-0.13248402,-0.25051808,0.112902164,-0.11354354,0.28760478,-0.20189953,0.016770147,-0.1412921,-0.16666536,-0.32949156,0.07121448,-0.023639638,0.0
0.002723927,-0.122585215,-0.005999307,-0.03244661,-0.08883822,0.37847802,0.07301357,0.05441796,0.08956121,-0.32270372,0.07765914,0.38335997,-0.105718635,-0.16119102,0.0948965,0.19638684,-0.069440894,0.17853223,0.26474124,0.0084850695,-0.11031322,-0.2701633,0.11528067,-0.11806298,0.2486174,-0.17196777,0.019376978,-0.13063395,-0.21365088,-0.3157834,0.029026432,0.016899364,0.0
0.0021726158,-0.13542493,-0.052748982,-0.018162515,-0.10659499,0.40761876,0.077802144,-0.004584343,0.059383497,-0.3351282,0.016948137,0.45799083,-0.080829084,-0.12008517,0.0073523815,0.20491213,-0.010444693,0.21848753,0.19511397,-0.013091998,-0.17688291,-0.22376165,0.07222325,-0.09990101,0.21415749,-0.16871454,0.017922401,-0.08757875,-0.241985,-0.28651932,0.008053697,0.020048138,0.0
0.00665767,-0.16178182,0.032364845,-0.009355101,-0.13447005,0.38268986,0.023433562,0.020823253,0.14219336,-0.2727823,0.10890652,0.38852358,-0.1129712,-0.14804722,0.050402775,0.24165331,-0.08027807,0.1842516,0.24975465,0.02033014,-0.14284112,-0.26204208,0.07422006,-0.023398412,0.24872875,-0.18733524,0.035122804,-0.124285564,-0.1565558,-0.3361947,0.053087946,-0.04204379,0.0
