~iteration~,epoch,acc_yinda_level0,auc_yinda_level0,mean_average_precision_at_r_level0,precision_at_1_level0,r_precision_level0,best_epoch,best_accuracy,folder_name
19,19,0.921875,0.9480676328502416,0.7507974265092521,0.921875,0.8173611111111111,19,0.9480676328502416,data_0_0
49,49,0.890625,0.9673913043478262,0.7504860182238947,0.890625,0.8163194444444444,49,0.9673913043478262,data_0_1
74,74,0.890625,0.963768115942029,0.7326242127014571,0.84375,0.796282679738562,74,0.963768115942029,data_0_2
99,99,0.78125,0.8682170542635659,0.5936652029191125,0.8125,0.7218377976190475,99,0.8682170542635659,data_1_0
29,29,0.8125,0.8648947951273531,0.5530353768468039,0.75,0.6822916666666666,29,0.8648947951273531,data_1_1
50,50,0.8125,0.8992248062015503,0.5444378043435394,0.75,0.681063988095238,50,0.8992248062015503,data_1_2
43,43,0.859375,0.9618239660657476,0.6704581877998976,0.765625,0.7622159090909091,43,0.9618239660657476,data_2_0
92,92,0.875,0.9597030752916224,0.7211674392374012,0.828125,0.7917258522727273,92,0.9597030752916224,data_2_1
21,21,0.765625,0.926829268292683,0.6024615206710734,0.828125,0.7128551136363637,21,0.926829268292683,data_2_2
23,23,0.8412698412698413,0.9523281596452328,0.6703332169658451,0.8888888888888888,0.7572751322751323,23,0.9523281596452328,data_3_0
31,31,0.8888888888888888,0.975609756097561,0.6996029901581542,0.8888888888888888,0.7806122448979592,31,0.975609756097561,data_3_1
18,18,0.746031746031746,0.951219512195122,0.6585166545675927,0.8412698412698412,0.7583711262282691,18,0.951219512195122,data_3_2
32,32,0.8095238095238095,0.902439024390244,0.5490214723601377,0.7777777777777777,0.6789304610733181,32,0.902439024390244,data_4_0
16,16,0.8412698412698413,0.9113082039911308,0.55377035751391,0.7619047619047619,0.6904761904761905,16,0.9113082039911308,data_4_1
29,29,0.7936507936507936,0.8813747228381374,0.5359234939077779,0.6984126984126984,0.673148148148148,29,0.8813747228381374,data_4_2
